Keyword;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Mar 2025;Searches: Apr 2025;Searches: May 2025;Searches: Jun 2025;Searches: Jul 2025;Searches: Aug 2025;Searches: Sep 2025;Searches: Oct 2025;Searches: Nov 2025;Searches: Dec 2025;Searches: Jan 2026;Searches: Feb 2026
lanterna fiesta sedan 2012;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna fiorino;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna fiorino 2010;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna fiorino 2018;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna fiorino 2020;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna fit 2008;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna fitam;50;∞;∞;Baixo;11;;;;;;;;;;;;;;;;;;;
lanterna fluence;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna ford ka;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna ford ka 2007;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna ford ka 2010;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna ford ka 2012;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna ford ka 2013;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna ford ka sedan 2018;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna ford ranger;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna fox 2006;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna fox 2008;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna fox 2009;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna fox 2011;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna fox 2012;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna fox 2013;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna fox 2014;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna fox 2015;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna freelander 2;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna fume corsa wind;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna fume gol g5;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna fume gol quadrado;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna fume golf sportline;50;∞;∞;Baixo;0;;;;;;;;;;;;;;;;;;;
lanterna fusca;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna fusca 75;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna fusca fafa;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna fusion 2010;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna g5;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna g6;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna g7;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna gol;50;0%;0%;Alto;86;;;;;;;;;;;;;;;;;;;
lanterna gol bola;50;∞;∞;Alto;86;;;;;;;;;;;;;;;;;;;
lanterna gol bx;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna gol g2 gti;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna gol g2 original;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna gol g3 original;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna gol g3 personalizada;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna gol g4 dianteira;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna gol g4 fume;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna gol g4 original;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna gol g4 traseira;50;0%;0%;Médio;50;;;;;;;;;;;;;;;;;;;
lanterna gol g5 fume;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna gol g5 led;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna gol g5 traseira;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna gol g6;50;∞;0%;Alto;75;;;;;;;;;;;;;;;;;;;
lanterna gol g6 original;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna gol g7;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna gol g7 original;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna gol g8;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna gol gti bola;50;∞;∞;Baixo;0;;;;;;;;;;;;;;;;;;;
lanterna gol quadrado arteb;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna gol quadrado dianteira;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna gol quadrado fume;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna golf 2008;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna golf 2010;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna golf gti mk4;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna golf mk3;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna golf mk4;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna golf mk7;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna golf sapao;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna golf sportline original;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna golf tsi;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna guerra braslux;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna guerra led 24v;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna hb20 2016;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna hb20 sedan;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna hb20s;50;0%;∞;Baixo;0;;;;;;;;;;;;;;;;;;;
lanterna hella fusca;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna hilux 2015;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna hilux 2016;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna hilux 2017;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna hilux 2021;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna hilux 2022;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna honda city;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna honda civic 2008 original;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna honda fit;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna honda fit 2007;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna honda fit 2008;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna honda fit 2010;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna honda fit 2013;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna honda fit 2015;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna hr;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna hrv;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna hrv 2016;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna hrv 2018;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna hrv 2020;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna i30;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna idea 2012;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna intruder 125;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna jetta led;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna kombi original;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna kwid;50;∞;0%;Alto;71;;;;;;;;;;;;;;;;;;;
lanterna lancer;50;∞;∞;Baixo;0;;;;;;;;;;;;;;;;;;;
lanterna lancer led;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna lateral civic g10;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna led carreta randon;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna led civic g10;50;∞;∞;Baixo;0;;;;;;;;;;;;;;;;;;;
lanterna led f250;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna led fusca tsi;50;∞;∞;Baixo;0;;;;;;;;;;;;;;;;;;;
lanterna led hb20;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna led hilux;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna led jetta 2012;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna led para caminhão;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna led para carreta;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna led polo;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna led punto;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna led randon;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna led ranger;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna led s10;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna led scania;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna led traseira;50;0%;0%;Baixo;0;;;;;;;;;;;;;;;;;;;
lanterna led traseira caminhao;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna librelato;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna logan;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna logan 2010;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna logan 2011;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna logan 2020;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna logus;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna marmita;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna marmitao led;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna mb 1113;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna megane;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna mercedes;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna mercedes led;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna mercedes traseira;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna meriva;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna meriva 2012;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna mk7 5;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna montana 2008;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna montana 2009;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna montana 2010;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna monza tubarão;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna neblina;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna new civic;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna new fiesta;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna new fiesta 2014;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna nissan versa;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna novo creta;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna omega original;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna omega suprema;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna onibus marcopolo;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna onix 2020;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna onix 2021;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna onix plus 2020;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna onix premier;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna opala 84;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna opala 88;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna original gol quadrado;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna oroch;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna pajero full;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna palio;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna palio 2000;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna palio 2001;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna palio 2003;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna palio 2004;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna palio 2006;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna palio 2007;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna palio 2009;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna palio 2011;50;∞;∞;Baixo;29;;;;;;;;;;;;;;;;;;;
lanterna palio 97;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna palio 97 traseira;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna palio 98;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna palio 98 dianteira;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna palio attractive;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna palio attractive 2012;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna palio attractive 2013;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna palio attractive 2014;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna palio dianteira;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna palio fire;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna palio weekend 2002;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna palio weekend 2010;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna para caminhão traseira;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna parachoque renegade;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna parachoque toro;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna parachoque traseira peugeot 207;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna parati g3;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna parati quadrada original;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna passat;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna passat antigo;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna peugeot;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna peugeot 2008;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna peugeot 206 led;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna peugeot 307 sedan;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna peugeot 408;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna picasso;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna pisca axor;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna pisca d20;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna pisca dianteira;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna pisca fusca;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna pisca gol;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna pisca kombi;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna pisca palio;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna pisca palio 97;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna pisca palio 98;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna pisca santana;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna pisca toyota bandeirante;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna pisca uno;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna pisca vectra 97;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna polimatic fusca;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna polo 2003;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna polo 2008;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna polo 2010;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna polo 2018;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna polo 2019;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna polo 2020;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna polo gts;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna porsche;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna porsche cayenne;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna prisma 2007;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna prisma 2009;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna punto 2014;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna ranger 2008;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna ranger 2010;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna ranger 2011;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna ranger 2013;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna ranger 2015;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna ranger 2018;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna ranger 2020;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna ranger led;50;∞;∞;Alto;86;;;;;;;;;;;;;;;;;;;
lanterna red clear civic 99;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna redonda traseira;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna renault master;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna s10;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna s10 2013;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna sandero;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna sandero 2009;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna sandero 2011;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna sandero stepway;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna sandero stepway 2012;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna sandero stepway 2013;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna saveiro g3;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna saveiro g5;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna saveiro g6;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna saveiro robust;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna scania 124;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna scania led;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna sentra;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna seta dianteira;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna siena 2002;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna siena 2005;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna siena 2007;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna siena 2012;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna sonata;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna spacefox 2008;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna spacefox 2011;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna sprinter 313;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna strada;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna strada 2005;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna strada 2011;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna strada 2021;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna suzuki yes;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna sw4;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna sw4 2013;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna tempra;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna tempra 95;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna teto fusca;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna tiida;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna toyota;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna tracker 2008;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira 1113;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira 150;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira 206;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira 207;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira accelo 815;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira actros;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira agile;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira agile 2010;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira agile 2010 original usadas;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira agile 2011 original;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira agile 2011 original usadas;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira agile 2012;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira agile 2013;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira agile 2013 original;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira agile 2014;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira aircross 2012;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira amarok 2012;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira amarok 2013;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira amarok 2018;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira amarok 2019;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira amarok led;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira amarok original;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira amarok v6;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira apollo;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira argo;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira argo 2018;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira argo 2020;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira argo 2021;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira argo 2022;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira arteb gol quadrado;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira astra;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira astra 2001;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira astra 2002;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira astra 2005;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira astra 2007;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira astra 2009 original;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira astra 2011;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira astra hatch;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
